,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
1,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
2,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
3,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
4,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
5,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
6,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
7,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
8,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
9,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
10,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
11,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
12,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
13,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
14,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
15,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
16,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
17,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
18,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
19,representations,cryptocurrencies,bitcoin,ethereum,dogecoin,ripple,litecoin,placed,pc,motherboard,illustration,taken,june,reutersdado,ruvicillustrationfile,photow,char
